Index,P1,P2
0,Azen,Captain Jack
1,Azen,Captain Jack
2,Sastopher,Azen
3,ChuDat,Captain Jack
4,Ken,Sastopher
5,J-Dawg,Azen
6,ChuDat,Wes
7,Captain Jack,Sultan of Samitude
8,Ken,Dave
9,Sastopher,Lunaris
10,J-Dawg,Caveman
11,Kei,Azen
12,Isai,ChuDat
13,Wes,Gus
14,Captain Jack,Eddie
15,Sultan of Samitude,Recipherus
16,Ken,Antonio S
17,Justin,Dave
18,Sastopher,Jon Jon
19,The_Doug,Lunaris
20,S-Royal,J-Dawg
21,Del,Caveman
22,Kei,MattDeezie
23,Manacloud,Azen
24,Isai,Jarrod
25,Blair,ChuDat
26,Rune,Wes
27,Gus,DSF
28,Captain Jack,Rob$
29,Oro,Eddie
30,Sultan of Samitude,Yagi
31,Mr Silver,Recipherus
32,Ken,Danny A
33,Antonio S,Ryan T
34,Justin Junio,John BF
35,Dave,Camper Bob
36,Arash,Sastopher
37,Zarelid,Jon Jon
38,The_Doug,Panda
39,Tristan,Lunaris
40,S-Royal,Silly Fox
41,J-Dawg,Mike P
42,Del,Edward
43,Mike G,Caveman
44,BalefireBoy,Kei
45,Andre F,MattDeezie
46,Manacloud,CrazyKeys
47,Ross M,Azen
48,Isai,Claudio
49,David K,Jarrod
50,Blair,Dan L
51,ChuDat,Zulu
52,Rune,GERM
53,Undisputed,Wes
54,Gus,Khoa
55,Scamp,DSF
56,Captain Jack,Phil T
57,Guang,Rob$
58,Oro,Adam F
59,Goldwing,Eddie
60,Pedro,Sultan of Samitude
61,Brian,Yagi
62,Mr Silver,Zelgadis
63,Jeff H,Recipherus
64,Ken,
65,Drakkus,Danny A
66,Mike K,Antonio S
67,Ryan T,Max
68,Justin Junio,Locke
69,Damion S,John BF
70,Frotaz,Dave
71,Derek K,Camper Bob
72,Stuart Z,Arash
73,Sastopher,Essence
74,Kate,Zarelid
75,Jon Jon,Cloud
76,,The_Doug
77,Eh?,Panda
78,Ashley,Tristan
79,Lunaris,Teflon Climbers
80,S-Royal,Dr. Z
81,Silly Fox,Bobby N
82,Martin,J-Dawg
83,,Mike P
84,Del,Xander
85,Sohail,Edward
86,Grant A,Mike G
87,,Caveman
88,BalefireBoy,Miguel
89,,Kei
90,Andre F,Chris L
91,Stition,MattDeezie
92,,Manacloud
93,CrazyKeys,Luke A
94,Ross M,Gus H
95,,Azen
96,Isai,
97,Claudio,Dragon Cock
98,David K,Jason M
99,,Jarrod
100,Blair,
101,Dan L,Andrew C
102,Dan M,ChuDat
103,DMStudios,Zulu
104,Rune,RatKing
105,Justin R,GERM
106,Aaron C,Undisputed
107,,Wes
108,,Gus
109,Ronald T,Khoa
110,Scamp,Kenneth S
111,Carlos G,DSF
112,Captain Jack,
113,Phil T,Glen C
114,Guang,Pat
115,JR Castillo,Rob$
116,Mike B,Oro
117,Richard N,Adam F
118,,Goldwing
119,Derilink,Eddie
120,Jason,Pedro
121,Sultan of Samitude,
122,Curtis,Brian K
123,Yagi,James D
124,Mr Silver,Dave G
125,Zelgadis,Eric L
126,Matt M,Jeff H
127,,Recipherus
