Index,P1,P2
0,Azen,Captain Jack
1,ChuDat,Captain Jack
2,Sastopher,ChuDat
3,Isai,ChuDat
4,Wes,Isai
5,Rob$,Sastopher
6,DSF,Rob$
7,Isai,Sultan of Samitude
8,S-Royal,Isai
9,BalefireBoy,Wes
10,BalefireBoy,Mike P
11,Rob$,J-Dawg
12,Rob$,Dave
13,DSF,Ken
14,Blair,DSF
15,MattDeezie,Isai
16,MattDeezie,Manacloud
17,S-Royal,Gus
18,S-Royal,Del
19,Mike P,Eddie
20,Mike G,Mike P
21,BalefireBoy,Recipherus
22,Antonio S,BalefireBoy
23,Zulu,Dave
24,Zulu,Mr Silver
25,Rob$,Lunaris
26,Rob$,GERM
27,DSF,Caveman
28,Rune,DSF
29,Blair,Kei
30,Jeff H,Blair
31,Manacloud,Danny A
32,Ryan T,Danny A
33,CamperBob,MattDeezie
34,CamperBob,James D
35,Derilink,Del
36,Zarelid,Derilink
37,Tristan,S-Royal
38,Tristan,JR Castillo
39,Mike P,The_Doug
40,Mike P,Silly Fox
41,Mike G,Jon Jon
42,Mike G,Edward
43,BalefireBoy,Justin Junio
44,Dan L,BalefireBoy
45,Ross M,Antonio S
46,Ross M,Jason M
47,Gus H,Mr Silver
48,Luke A,Gus H
49,Zulu,Yagi
50,Zulu,Stition
51,GERM,Oro
52,Undisputed,GERM
53,Martin,Rob$
54,Scamp,Martin
55,Teflon Climbers,DSF
56,Guang,Teflon Climbers
57,Cloud,Rune
58,Goldwing,Cloud
59,Pedro,Blair
60,Locke,Pedro
61,Jeff H,Jarrod
62,Jeff H,Zelgadis
63,Matt M,Danny A
64,Matt M,
65,Dave G,Ryan T
66,Dave G,Eric L
67,James D,John BF
68,Curtis,James D
69,Jason,CamperBob
70,Jason,
71,Derilink,Arash
72,Derilink,
73,Richard N,Zarelid
74,Richard N,Mike B
75,JR Castillo,Panda
76,Pat,JR Castillo
77,Glen C,Tristan
78,,Glen C
79,Carlos G,Silly Fox
80,Kenneth S,Carlos G
81,Ronald T,Mike P
82,,Ronald T
83,Aaron C,Edward
84,Aaron C,
85,Justin R,Mike G
86,RatKing,Justin R
87,DMStudios,BalefireBoy
88,Dan M,DMStudios
89,Dan L,Andre
90,,Dan L
91,Jason M,CrazyKeys
92,Jason M,
93,Dragon Cock,Ross M
94,,Dragon Cock
95,Gus H,Claudio
96,Gus H,
97,Luke A,David K
98,,Luke A
99,Stition,Andrew
100,Chris L,Stition
101,Miguel,Zulu
102,Miguel,
103,Grant A,GERM
104,Grant A,
105,Xander,Undisputed
106,Xander,Sohail
107,Martin,Khoa
108,Martin,
109,Bobby N,Scamp
110,Dr. Z,Bobby N
111,Teflon Climbers,Phil T
112,Ashley,Teflon Climbers
113,Eh?,Guang
114,,Eh?
115,Cloud,Adam F
116,Kate,Cloud
117,Stuart Z,Goldwing
118,Stuart Z,Essence
119,Frotaz,Pedro
120,Frota,Derek K
121,Locke,Bryan K
122,Locke,Damion S
123,Mike K,Zelgadis
124,Mike K,Max
125,Drakkus,Jeff H
126,,Drakkus
